%time,field.x,field.y,field.z
1636770493212526655,0.012644311709976297,-0.06390407433386867,9.866298717791853
1636770493213370465,0.03876987852671177,-0.045924006311256774,9.852970585489922
1636770493230484676,0.012091930217057772,-0.06323737050333329,9.866303706637183
1636770493231195761,0.035200943078477605,-0.05927888030906297,9.872523615277107
1636770493250942458,0.031953632087107324,-0.07324879126117763,9.892073363140481
1636770493262052819,0.011568387115466618,-0.06214067100500823,9.86631130210866
1636770493262631546,0.055009391486447706,-0.0690498249284024,9.898296907046479
1636770493281318980,0.017551303798902154,-0.08079867916448871,9.853079184300535
1636770493281909586,0.03724554911792835,-0.04332833833833175,9.852988221491314
1636770493300399236,0.03405826962437944,-0.05734504062635015,9.872539045111647
1636770493312755953,0.04356126970047937,-0.062161627735851696,9.839755672913771
1636770493313344154,0.00753935914459728,-0.07458912159193498,9.885873752243548
1636770493331812628,0.04321887181434393,-0.061792007784623994,9.839759511816313
1636770493332662460,0.03345635094140265,-0.056258062369905805,9.872547356818862
1636770493351032619,0.039752091071340624,-0.07545113405492394,9.859316122147177
1636770493351464423,0.03941616321503622,-0.07519478924270105,9.859319429963996
1636770493371313139,0.0391438940189405,-0.07517011426309701,9.85932070188489
1636770493390397164,0.03565121492666781,-0.0649678803343568,9.865940949651247
1636770493402405758,0.015206079916102984,-0.07762393573802423,9.853108604750112
1636770493402910790,0.01801539439892386,-0.06323585634390252,9.833557261437884
1636770493421685993,0.03800322954992841,-0.07392948669780582,9.859334545473677
1636770493422757904,0.010952439801820637,-0.04333102082306413,9.846789443924102
1636770493442090262,0.051192576274081546,-0.06447895047303931,9.898348212755254
1636770493442785470,0.040185012203953825,-0.0586759125908378,9.839791443692503
1636770493461008508,0.013575019571903305,-0.07610497170018131,9.853122837861468
1636770493479554015,0.03680426129256127,-0.07213399898109679,9.859352394144546
1636770493480811056,0.033205649484815386,-0.03809734478714156,9.853024279089954
1636770493492210723,0.012886722304954709,-0.07508327189783104,9.853131600554214
1636770493492898575,0.03600468119513375,-0.07122885407913278,9.859361927119568
1636770493511440361,0.05275904954758387,-0.047839586538251266,9.87881456403559
1636770493512145745,0.012308425369437801,-0.07397568859630303,9.853140716755908
1636770493530326784,0.008624356438309475,-0.03981772915250049,9.846806591159336
1636770493542650837,0.03836111331357029,-0.055434441956877085,9.839817518575122
1636770493543227596,0.02229326039676193,-0.030416957937234295,9.88581476958104
1636770493561847391,0.06136496770144728,-0.05128735097936936,9.846051543809743
1636770493562641373,0.025179855060071133,-0.06370611384665419,9.89215898398476
1636770493580965806,0.034358713111826096,-0.06853096123914489,9.859386923100725
1636770493581679921,0.02021218154417603,-0.07681656083167143,9.8203852481999
1636770493600364827,0.02083786104389354,-0.02878909882320497,9.885822817652224
1636770493612427766,0.03052208591867875,-0.08180576212518068,9.878956926655766
1636770493613055952,0.02263239390284963,-0.06173601787162892,9.800832112773426
1636770493631654444,0.0035413795264870925,-0.0510878055419879,9.8663808710259
1636770493632635922,0.026750736271381092,-0.04715647098481602,9.872615473892408
1636770493650703766,0.0162122272762021,-0.08932930390278981,9.83996276917285
1636770493662910848,0.049835810536283116,-0.043045494878584986,9.878851795412912
1636770493663522855,0.009478851010021086,-0.0692853574753411,9.85317794314888
1636770493680983322,0.04219136582444816,-0.07060845112597938,9.82664193254459
1636770493682091859,0.009125440838161601,-0.06851895917059657,9.853183637128621
1636770493701341310,0.0460261540811628,-0.05584468444859775,9.898426062727607
1636770493701789121,0.05204188362290395,-0.0751478405764503,9.885222906906115
1636770493720316592,0.03430364174953655,-0.04977191962315058,9.839862773120295
1636770493732531668,0.007798759514185821,-0.06714530946323757,9.853194232163023
1636770493733422168,0.031104126743812598,-0.06318104561655014,9.85943346215693
1636770493750763744,0.030790696142354444,-0.06274934562218534,9.859437203797514
1636770493751910706,0.03046572141185099,-0.06238838953241963,9.85944050275942
1636770493770854477,0.03015225230580696,-0.061956758072887884,9.859444189992585
1636770493790503022,0.03655832529089148,-0.08105157565705665,9.846247285530485
1636770493791321214,0.02645694934050635,-0.05146256234680598,9.866049577372396
1636770493803734070,0.029153799483703582,-0.06078931335638028,9.859454458241416
1636770493822364505,0.05536486214348714,-0.042612682013222866,9.84612847559773
